1 0 0 0 0
1 0 0.5 0 0
1.1 0 1 0 0
1 0 1.4 -28.6479 0
0.7 1.3411e-08 1.7 -74.4846 0
0.4 0 1.8 -97.4028 0
0.1 0.1 1.7 -97.4028 0
-0.2 0.3 1.6 -97.4028 0
-0.6 0.4 1.6 -97.4028 0
-1 0.4 1.6 -97.4028 0
-1.4 0.3 1.6 -97.4028 0
-1.8 0.1 1.6 -97.4028 0
-2.1 1.49012e-09 1.6 -85.9436 0
-2.4 1.49012e-09 1.6 -68.7549 0
-2.6 1.49012e-09 1.7 -51.5661 0
-2.7 1.49012e-09 1.9 -17.1887 0
-2.7 1.63913e-08 2.1 5.72966 0
-2.5 1.63913e-08 2.3 28.648 0
-2.2 1.63913e-08 2.4 57.2959 0
-1.9 1.63913e-08 2.4 91.6733 0
-1.6 1.63913e-08 2.4 91.6733 0
-1.4 0.1 2.4 91.6733 0
-1.3 0.2 2.4 91.6733 0
-0.8 1.63913e-08 2.4 91.6733 0
-0.5 1.63913e-08 2.4 91.6733 0
-0.3 0.1 2.4 91.6733 0
-0.2 0.2 2.4 91.6733 0
0.2 1.63913e-08 2.4 91.6733 0
0.7 1.63913e-08 2.4 91.6733 0
1.1 1.63913e-08 2.3 108.862 0
1.5 1.63913e-08 2 126.051 0
1.7 1.63913e-08 1.6 166.158 0
1.8 1.63913e-08 0.9 183.347 0
1.8 0.1 0.7 183.347 0
1.8 1.3411e-08 0.5 183.347 0
1.8 0.1 0.3 183.347 0
1.8 1.63913e-08 0.0999998 183.347 0
1.8 0.1 -0.1 183.347 0
1.8 1.63913e-08 -0.3 183.347 0
1.8 0.1 -0.5 183.347 0
1.8 1.63913e-08 -0.7 183.347 0
1.8 1.63913e-08 -1 200.535 0
1.6 1.63913e-08 -1.3 229.183 0
1.3 1.63913e-08 -1.5 257.831 0
1 1.63913e-08 -1.5 275.02 0
0.5 1.63913e-08 -1.5 275.02 0
0.3 0.1 -1.5 275.02 0
-7.30157e-08 0.1 -1.5 275.02 0
-0.3 0.2 -1.5 275.02 0
-0.6 0.2 -1.5 275.02 0
-1 0.3 -1.5 275.02 0
-1.7 0.3 -1.5 275.02 0
-2.1 0.2 -1.4 292.209 0
-2.5 0.1 -1.3 309.397 0
-2.8 0.1 -1.1 338.045 0
-2.9 0.1 -0.7 355.234 0
-3 1.49012e-09 -0.2 355.234 0
-3.1 1.49012e-09 0.3 355.234 0
-3.1 1.49012e-09 0.6 389.611 0
-3 1.49012e-09 0.8 401.071 0
-2.8 1.49012e-09 0.9 423.989 0
-2.5 1.49012e-09 0.9 458.366 0
-2 0.1 0.7 481.285 0
-1.6 0.3 0.5 481.285 0
-1.2 0.4 0.3 481.285 0
-0.600001 0.4 -0.1 481.285 0
-0.500001 0.3 -0.2 481.285 0
-0.400001 1.63913e-08 -0.3 481.285 0
-6.12438e-07 1.63913e-08 -0.6 481.285 0
0.299999 1.63913e-08 -0.7 458.366 0
0.699999 1.63913e-08 -0.6 412.53 0
0.899999 1.63913e-08 -0.4 378.152 0
1 0 0 0 0
